ID,Title,Format,Category,Severity,Description
SCA0001,Special type missing,Special type missing: '{0}',CodeAnalysis,Error,Special type is missing; please check the code analysis project and change the namespace.
SCA0101,Don't initialize large structure,,Usage,Warning,Don't initialize large structure; please use expected fields or 'Create' methods instead if available.
SCA0102,Large structures should pass by reference,,Performance,Warning,Large structure should pass by reference in order to optimize performance.
SCA0106,Specified field cannot be invoked,,Usage,Error,Specified field of function pointer type cannot be invoked.
SCA0107,Specified field is not function pointer type,,Usage,Warning,Specified field marked 'DisallowFunctionPointerInvocationAttribute' is not function pointer type.
SCA0109,Specified field can only be accessed in file,,Design,Error,Specified field can only be accessed in file where the field is declared.
SCA0110,Specified field marked cannot be private,,Design,Warning,Specified field marked 'FileAccessOnlyAttribute' cannot be private.
SCA0201,Use type 'Argument' instead,,Usage,Info,The current 'if' statement can be converted into 'Argument' method invocation; use 'Argument' instead to simplify the code.
SCA0202,Use 'Add' instead of plus operator,,Performance,Info,Use 'Add' instead of plus operator.
SCA0203,Use 'Remove' instead of subtraction operator,,Performance,Info,Use 'Remove' instead of subtraction operator.
SCA0204,Please don't use variable having called 'ToStringAndClear',,Design,Warning,Please don't use variable having called 'ToStringAndClear'.
SCA0205,Don't use 'using' keyword on 'StringHandler' type,,Design,Info,Don't use 'using' keyword on 'StringHandler' type; please use 'ToStringAndClear' to release memory.
SCA0301,Missing 'SelfAttribute',,Usage,Hidden,Missing 'SelfAttribute'; Don't you infer the self generic argument?
SCA0302,Specified type parameter must be derived from the containing type itself,,Usage,Warning,Specified type parameter must be derived from the containing type itself.
SCA0303,Self type parameter should be named 'TSelf',,Naming,Info,Self type parameter should be named 'TSelf'.
